edicion lolla,artista,minutaje,pantalla principal,juego de luces,tipo de vestimenta,cambio de vestuario,baile,instrumental en vivo,interaccion publico,escenografía,interrupciones,link presentacion
2023,Rosalía,0:23:21,"La pantalla de fondo y las de los cuadrados estan en negro y luego cambian a rojo, pero las pantallas de los lados muestran el escenario. Cabe señalar que agrego una silla negra como parte de la escenografía.",Se utilizan luces blancas y rojas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,No. Se sienta a cantar en una silla.,No,No,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,0:27:00,"La pantalla de fondo es roja y amarilla, pero las pantallas de los lados muestran el escenario. ",Se utilizan luces blancas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,Sí. Junto a sus bailarines de apoyo hacen un baile para un remix de una de sus canciones más populares.,No,No,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,0:32:29,"La pantalla de fondo y los cuadrados son negros, pero las pantallas de los lados muestran el escenario. ",Se utilizan luces amarillas estáticas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,No,No,Sí. El público le canta el cumpleaños feliz y ella les da las gracias. Dice que puede leer los carteles que llevaron algunos de los fanáticos.,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,0:34:36,"La pantalla de fondo y los cuadrados son negros, pero las pantallas de los lados muestran el escenario. ",Se utilizan luces blancas estáticas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,No,Sí. La artista se sienta a tocar el piano.,No,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,0:39:24,"La pantalla de fondo y los cuadrados son blancos, pero las pantallas de los lados muestran el escenario. ",Se usan luces de tonalidades que oscilan entre el azul y el celeste.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,Sí. Rosalía se sube al piano que estaba tocando y sus bailarines de apoyo realizan una coreografía  junto a ella.,No. La artista deja de tocar el piano y suena la música instrumental de fondo.,No,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,0:58:18,"La pantalla de fondo y los cuadrados son negros y blancos, pero las pantallas de los lados muestran el escenario. ",Se utilizan luces blancas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,Sí. Los bailarines de apoyo y Rosalía entran al escenario con monopatines y cuando comienza la canción bailan.,No,No,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,1:02:28,"La pantalla de fondo y los cuadrados son morados, pero las pantallas de los lados muestran el escenario. ",Se utilizan luces de tonalidades moradas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,Sí. La artista y los bailarines de apoyo hacen una coreografía.,No,No,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,1:03:26,La pantalla muestra Rosalía saliendo del escenario hasta el backstage.,Se utilizan luces de tonalidades moradas y blancas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,No,No,Sí. La artista le da las gracias al público.,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Tame Impala,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Feid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Blink-182,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,SZA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Limp Bizkit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Arcade Fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2024,Sam Smith,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Olivia Rodrigo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Justin Timberlake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Tool,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Rüfüs Du Sol,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Alanis Morissette,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2025,Shawn Mendes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,Doechii,0:02:29,"Se proyecta un clip grabado de la artista, quien hace una especie de introducción a su show.",No ,NA,NA,No,No,No,,No,https://youtu.be/gEGf22cS2x8
2026,Doechii,0:03:20,"Se proyecta el escenario. Este destaca por tener telas de diferentes colores: amarillas, rojas, naranjas. Además tiene alfombras a lo largo del piso, las que son mayormente color café. También tiene dos palmeras, las que se ubican en el lugar desde el que ella salió al escenario.","Hay luces de tonalidades amarillas, aunque son muy pocas. A medida que la canción avanza, comienzan a aumentar.",La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte trasera la falda se extiende hasta los pies. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,"Sí. La artista y los bailarines de apoyo realizan una coreografía, primero detrás de unas telas de colores y luego frente a ellas, quedando a la vista del público.",No,No,,,https://youtu.be/gEGf22cS2x9
2026,Doechii,0:09:07,Se proyecta el escenario.,Hay luces blancas que parpadean al ritmo de la canción. Luego cambian a rosadas y rojas. ,La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,"Sí. Aunque al comienza no realiza una coreografía, en mitad de la canción aparecen sus bailarines de apoyo y comienzan a bailar de forma coordinada.",No,"Sí. Saluda al público y les dice que repitan las frases que ella dice para, así, introducir su próxima canción.",,No,https://youtu.be/gEGf22cS2x10
2026,Doechii,0:16:59,Se proyecta el escenario.,Se utilizan luces de tonalidades moradas y amarillas.,La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,No,No,Sí. La artista le habla al público y les dice que repitan las frases que ella menciona (las que son en referencia a la canción que esta presentando).,,No,https://youtu.be/gEGf22cS2x11
2026,Doechii,0:19:47,Se proyecta el escenario.,Se usan luces blancas y amarillas intermitentes.,La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,"Sí. La artista tiene una coreografía con sus bailarines de apoyo, quienes ahora tienen accesorios de diferentes colores sobre sus cabezas, cubriendo por completo sus caras. Además, se situan en una escenografía que simula una especie de cama con diseños asiaticos. ",No,No,,No,https://youtu.be/gEGf22cS2x12
2026,Doechii,0:23:52,"Se muestra un clip grabado de Doechii hablando sobre la ""respiración"" y nuestras reacciones ante ciertas situaciones. Luego se vuelve a enfocar a la artista y al escenario.",Se usan luces blancas y amarillas que parpadean al ritmo de la canción.,La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,"Sí. La artista baila al mismo tiempo que canta la canción, aunque es solo por unos momentos.",No,No,,No,https://youtu.be/gEGf22cS2x13
2026,Doechii,0:33:22,Se proyecta el escenario.,Se usan luces de tonalidades azules y en las telas de fondo se muestran sombras de mujeres bailando al ritmo de la canción.,La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,No   ,No,No,,No,https://youtu.be/gEGf22cS2x14
2026,Doechii,0:41:05,"Se proyecta el escenario. Además, a la escenografía se agregaron unas especies de barandas doradas.",Se usan luces blancas que parpadean al ritmo de la canción.,La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,Sí. La artista baila mientras canta y es apoyada por sus bailarines.,No,No,,No,https://youtu.be/gEGf22cS2x15
2026,Doechii,0:43:26,Se proyecta el escenario. ,Se usan luces de tonalidades amarillas y verdes.,La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,Sí. La artista hace un baile en solitario.,No,Sí. Le dice al público que griten su nombre.,,No,https://youtu.be/gEGf22cS2x16
2026,Doechii,0:47:21,Se proyecta el escenario. ,"Se usan luces de tonalidades rojas, moradas, naranjas y azules.",La artista esta utilizando un top burdeo con una falda muy corta del mismo tono. En la parte de sus tobillos tiene amarradas tiras del mismo color. En sus muñecas tiene pulseras doradas y burdeo. Sus bailarines de apoyo tiene vestimenta similar pero todas estan de negro.,No,"Sí. Al principio comienza la canción sentada junto a una bailarina de apoyo, con quien simula tener una conversación. A medida que la canción avanza, se suman el resto de los bailarines de apoyo y hacen una coreografía.",No,No,,No,https://youtu.be/gEGf22cS2x17
2026,Sabrina Carpenter,0:00:10,Se proyecto un video en donde aparece Sabrina hablando como si formara parte de un programa de televisión.,No hay cambio de luces,NA,NA,No,No,No,,No,https://youtu.be/KQCM2FnpFG0
2026,Sabrina Carpenter,0:01:35,"Se muestra el escenario y además se muestran gráficas vinculadas a la canción que se esta presentando. Cabe señalar que la escenografía esta diseñada para tener dos pisos, y tiene las letras ""SC"" (en gigante) con un corazón en medio y luces blancas. También tiene una escalera que se mueve. Todo esta en color blanco.",Se pasa de un escenario sin iluminación a uno en donde predominan las luces de tonalidades blancas.,"Utiliza un enterito verde con letras amarillas que dicen ""Sabrina"", además de unas botas blancas largas con corazones.",No,"Sí. Baila ella y también tiene bailarines de apoyo, los que son hombres y mujeres. No es baile improvisado, son coreografías bien diseñadas.",Sí,No,,No,https://youtu.be/KQCM2FnpFG1
2026,Sabrina Carpenter,0:10:13,Se muestra el escenario y además se muestran gráficas vinculadas a la canción que se esta presentando.,Uso de luces blancas y con tonos que oscilan entre el morado y azul. Parpadean de acuerdo al ritmo de la canción.,"Utiliza un enterito verde con letras amarillas que dicen ""Sabrina"", además de unas botas blancas largas con corazones.",No,"Sí. Baila ella y también tiene bailarines de apoyo, los que son hombres y mujeres. No es baile improvisado, son coreografías bien diseñadas.",Sí,"Sí. Durante la parte final de ""Good Graces"" invita al público a cantar con ella, de modo que ella canta una parte de la letra y luego apunta con el micrófono al público para que continúen la canción.",,No,https://youtu.be/KQCM2FnpFG2
2026,Sabrina Carpenter,0:37:49,"Se muestran ""comerciales"" de un show de televisión ficticio llamado ""Sabrina Carpenter Live"", y luego se enfoca a los bailarines de la artista, quienes estan haciendo una competencia de baile.","Se utilizan luces que mezclan los colores rojos, blancos y azules.","Vestimenta llamativa (si bien en este segmento quienes se roban el escenario son los bailarines de apoyo de Sabrina, estos utilizan vestimentas brillantes que van a tono con la artista: enteritos con brillos, botas largas, vestidos, pañuelos en el cuello, etc)",No,"Sí. Baila ella y también tiene bailarines de apoyo, los que son hombres y mujeres. No es baile improvisado, son coreografías bien diseñadas.",Sí,No,,No,https://youtu.be/KQCM2FnpFG3
2026,Sabrina Carpenter,0:40:49,Se muestra el escenario y además se muestran gráficas vinculadas a la canción que se esta presentando.   ,Se utilizan luces blancas y amarillas.,"Utiliza un vestido corto color morado pastel, con brillos en la parte superior, y zapatos con brillos.",Sí,"Sí. Baila ella y también tiene bailarines de apoyo, los que son hombres y mujeres. No es baile improvisado, son coreografías bien diseñadas.",Sí,No,,No,https://youtu.be/KQCM2FnpFG4
2026,Sabrina Carpenter,0:46:50,Se muestra el escenario y además se muestran gráficas vinculadas a la canción que se esta presentando.,Las luces se tornan rojizas.,"Utiliza un vestido corto color morado pastel, con brillos en la parte superior, y zapatos con brillos.",No,No,Sí,Sí. Invita al público a que canten juntos y a que aplaudan al mismo tiempo.,,No,https://youtu.be/KQCM2FnpFG5
2026,Sabrina Carpenter,0:51:00,"Se muestra el escenario y además se muestran gráficas vinculadas a la canción que se esta presentando. Para esta canción en particular se utiliza una cama como parte de la escenografía, por lo que la cámara se enfoca en ella.",Predominan la luces color morado y rosado.,"Utiliza un vestido corto color morado pastel, con brillos en la parte superior, y zapatos con brillos.",No,"Sí. Sabrina baila en ciertos momentos pero no a lo largo de toda la canción, aunque sus bailarines de apoyo si lo hacen en toda la canción.",Sí,No,,No,https://youtu.be/KQCM2FnpFG6
2026,Sabrina Carpenter,0:54:40,Se muestra el escenario.,Se usan luces blancas que se mantienen estáticas.,"Utiliza un vestido corto color morado pastel, con brillos en la parte superior, y zapatos con brillos.",No,No,No,"Sí. Hace una pausa para interactuar con la audiencia. Hace su típico ""arresto"" como introducción para la canción Juno.",,No,https://youtu.be/KQCM2FnpFG7
2026,Sabrina Carpenter,1:05:10,Se muestra el escenario.,Se usan luces blancas que se mantienen estáticas.,"Utiliza un vestido corto color morado pastel, con brillos en la parte superior, y zapatos con brillos.",No,No. Sabrina se sienta en la orilla del escenario.,Sí,No,,No,https://youtu.be/KQCM2FnpFG8
2026,Sabrina Carpenter,1:08:16,"Se muestran clips que aluden al final del show ""Sabrina Carpenter Live"", introduciendo la canción ""Espresso"".",Bajan las luces.,"Utiliza un vestido corto color morado pastel, con brillos en la parte superior, y zapatos con brillos.",No,No   ,No,No,,No,https://youtu.be/KQCM2FnpFG9
2026,Sabrina Carpenter,1:08:45,Se muestra el escenario y además se muestran gráficas vinculadas a la canción que se esta presentando.,Se usan luces blancas que se mantienen estáticas.,"Utiliza un vestido corto color morado pastel, con brillos en la parte superior, y zapatos con brillos.",No,Sí. Sabrina y sus bailarines de apoyo hacen la misma coreografía.,Sí ,"Sí. Antes de iniciar la canción, le dice que al público que mientras más griten más bebera ella de una copa que sube al escenario.",,No,https://youtu.be/KQCM2FnpFG10
2026,Turnstile,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Tyler, The Creator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Tyler, The Creator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Tyler, The Creator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Tyler, The Creator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,"Tyler, The Creator",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,Lewis Capaldi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,Chappel Roan,.00:01:00,Se muestran ojos que observan al público.,Hay luces de tonalidades verdes que brillan al ritmo de la música instrumental.,NA,NA,No,No,No,,No,https://youtu.be/91BcyH3U918
2026,Chappel Roan,.00:01:46 ,Se muestran clips de un libro siendo hojeado.,Las luces cambian a tonalidades rojas.,NA,No,No,"Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.",No,,No,https://youtu.be/91BcyH3U919
2026,Chappel Roan,.00:04:20,"Se muestran gráficas rosadas en la pantalla de fondo, mientras que en las de los lados se muestra el escenario. Además, la escenografía tiene diseños tétricos, tipo Halloween, tiene candelabros y caras dibujadas en pilares, pareciera que quiere representar la estetica de un castillo de terror.",Se utilizan luces de tonos azules y rosados.,"La artista esta utilizando un vestido de novia con un velo sobre su cabeza, el que en su interior tiene un accesorio tipo ""corona"" hecha por lo que parecen ser petalos blancos. Su banda en vivo tiene vestidos de colores rosados y negros con un estilo ""metal"".",No,No,"Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.",No,,No,https://youtu.be/91BcyH3U920
2026,Chappel Roan,.00:31:20,Se muestra el escenario.,Se utilizan luces blancas estáticas. Cuando la canción comienza las luces cambian a amarillo y rosado.,La artista esta utilizando un vestido de novia. Se quitó el velo que llevaba sobre la cabeza.,No,Al principio de la canción no baila. Pero en el coro hace la coreografía que el público conoce.,"Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.","Sí. Le habla al público y les dice que creen que lo ""harán bien con la siguiente canción"" y que ""no les enseñara el baile"", aludiendo a que la audiencia ya lo conoce.",,No,https://youtu.be/91BcyH3U921
2026,Chappel Roan,.00:37:31,Se muestra el escenario.,Se usan luces de tonalidades celestes.,"La artista sigue con su mismo vestuario pero con menos prendas encima: lo que era un vestido de novia pasa a ser un top con una minifalda y pantis. Además, ahora se aprecia mejor que la artista esta con botas blancas.",No,No,"Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.",No,,No,https://youtu.be/91BcyH3U922
2026,Chappel Roan,.00:43:05,Se muestra el escenario.,Se utilizan luces de tonalidades azules.,"La artista sigue con su mismo vestuario pero con menos prendas encima: lo que era un vestido de novia pasa a ser un top con una minifalda y pantis. Además, ahora se aprecia mejor que la artista esta con botas blancas.",No,"No. Aunque no tiene baile, cabe señalar que pone una peluca rubia sobre el soporte del micrófono y hace como si le cantara a una mujer.","Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.",No,,No,https://youtu.be/91BcyH3U923
2026,Chappel Roan,.00:46:07,Se muestra el escenario.,Se utilizan luces de tonalidades azules.,"La artista sigue con su mismo vestuario pero con menos prendas encima: lo que era un vestido de novia pasa a ser un top con una minifalda y pantis. Además, ahora se aprecia mejor que la artista esta con botas blancas.",No,No,"Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.","Sí. Dice al público ""Chi chi chi"", y ellos le responden. Les agradece por todo el apoyo.",,No,https://youtu.be/91BcyH3U924
2026,Chappel Roan,.01:,Se muestra el escenario y en la pantalla de fondo gráficas de relampagos.,Se utilizan luces de tonalidades azules.,"La artista sigue con su mismo vestuario pero con menos prendas encima: lo que era un vestido de novia pasa a ser un top con una minifalda y pantis. Además, ahora se aprecia mejor que la artista esta con botas blancas.",No,"No. Aunque no esta realizando un baile, la artista se acerca a una de sus guitarristas y se sienta junto a ella a cantarle.","Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.",No,,No,https://youtu.be/91BcyH3U925
2026,Chappel Roan,.01:17:22,"Se muestra el escenario. Además, se lanzan chispas de fuego desde la parte superior del escenario.",Se usan luces de tonalidades moradas y rosadas.,"La artista sigue con su mismo vestuario pero con menos prendas encima: lo que era un vestido de novia pasa a ser un top con una minifalda y pantis. Además, ahora se aprecia mejor que la artista esta con botas blancas.",No,No,"Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.",Sí. La artista le dice al público que canten lo que sigue de la canción y los motiva con las manos.,,No,https://youtu.be/91BcyH3U926
2026,Chappel Roan,.01:18:55,Se muestra el escenario.,Se usan luces de tonalidades rosadas y rojas. Además se lanzan fuegos artificiales.,"La artista sigue con su mismo vestuario pero con menos prendas encima: lo que era un vestido de novia pasa a ser un top con una minifalda y pantis. Además, ahora se aprecia mejor que la artista esta con botas blancas.",No,No,"Sí. Hay una banda en vivo que cuenta con una batería, guitarras, y piano. Hacen una introducción musical antes de que salga la artista principal.","Sí. La artista se despide del público,  les dice que los ama y que lleguen bien a sus casas.",,No,https://youtu.be/91BcyH3U927
2026,Deftones,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,Lorde,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,Los Bunkers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2026,Skrillex,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
